epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732908378808,2024-11-29T14.26.18.808,0.000,1.037,-1.341,-0.061
1732908378818,2024-11-29T14.26.18.818,0.010,1.037,-1.220,-0.183
1732908378828,2024-11-29T14.26.18.828,0.020,1.220,-0.915,0.061
1732908378838,2024-11-29T14.26.18.838,0.030,1.280,-0.549,0.305
1732908378848,2024-11-29T14.26.18.848,0.040,1.159,-0.305,0.244
1732908378858,2024-11-29T14.26.18.858,0.050,0.793,-0.122,0.244
1732908378868,2024-11-29T14.26.18.868,0.060,0.366,-0.183,0.183
1732908378878,2024-11-29T14.26.18.878,0.070,-0.061,-0.122,0.000
1732908378888,2024-11-29T14.26.18.888,0.080,-0.366,-0.061,-0.244
1732908378898,2024-11-29T14.26.18.898,0.090,-0.671,0.061,-0.427
1732908378908,2024-11-29T14.26.18.908,0.100,-0.671,0.244,-0.549
1732908378918,2024-11-29T14.26.18.918,0.110,-0.610,0.305,-0.671
1732908378928,2024-11-29T14.26.18.928,0.120,-0.427,0.549,-0.793
1732908378938,2024-11-29T14.26.18.938,0.130,-0.061,0.488,-0.732
1732908378948,2024-11-29T14.26.18.948,0.140,0.244,0.061,-0.732
1732908378958,2024-11-29T14.26.18.958,0.150,0.610,0.122,-0.610
1732908378968,2024-11-29T14.26.18.968,0.160,0.793,-0.122,-0.427
1732908378978,2024-11-29T14.26.18.978,0.170,0.976,-0.427,-0.122
1732908378988,2024-11-29T14.26.18.988,0.180,1.159,-0.549,0.183
1732908378998,2024-11-29T14.26.18.998,0.190,1.037,-0.549,0.488
1732908379008,2024-11-29T14.26.19.008,0.200,0.793,-0.549,0.732
1732908379018,2024-11-29T14.26.19.018,0.210,0.549,0.000,0.549
1732908379028,2024-11-29T14.26.19.028,0.220,0.244,0.610,0.305
1732908379038,2024-11-29T14.26.19.038,0.230,-0.244,0.671,0.122
1732908379048,2024-11-29T14.26.19.048,0.240,-0.488,0.061,0.183
1732908379058,2024-11-29T14.26.19.058,0.250,-0.610,-0.610,0.305
1732908379068,2024-11-29T14.26.19.068,0.260,-0.427,-0.427,0.488
1732908379078,2024-11-29T14.26.19.078,0.270,-0.061,-0.244,0.610
1732908379088,2024-11-29T14.26.19.088,0.280,0.305,-0.183,0.793
1732908379098,2024-11-29T14.26.19.098,0.290,0.549,-0.122,0.915
1732908379108,2024-11-29T14.26.19.108,0.300,0.915,0.061,0.976
1732908379118,2024-11-29T14.26.19.118,0.310,1.159,0.061,1.037
1732908379128,2024-11-29T14.26.19.128,0.320,1.037,-0.061,0.854
1732908379138,2024-11-29T14.26.19.138,0.330,0.732,-0.061,0.854
1732908379148,2024-11-29T14.26.19.148,0.340,0.427,-0.366,0.732
1732908379158,2024-11-29T14.26.19.158,0.350,0.183,-0.488,0.671
1732908379168,2024-11-29T14.26.19.168,0.360,-0.061,-0.488,0.488
1732908379178,2024-11-29T14.26.19.178,0.370,-0.305,-0.366,0.305
1732908379188,2024-11-29T14.26.19.188,0.380,-0.244,-0.427,0.244
1732908379198,2024-11-29T14.26.19.198,0.390,0.183,-0.183,0.061
1732908379208,2024-11-29T14.26.19.208,0.400,0.305,-0.122,-0.061
1732908379218,2024-11-29T14.26.19.218,0.410,0.549,-0.305,-0.061
1732908379228,2024-11-29T14.26.19.228,0.420,0.854,-0.610,-0.244
1732908379238,2024-11-29T14.26.19.238,0.430,1.037,-0.732,-0.244
1732908379248,2024-11-29T14.26.19.248,0.440,1.037,-0.915,-0.122
1732908379258,2024-11-29T14.26.19.258,0.450,1.098,-0.793,-0.183
1732908379268,2024-11-29T14.26.19.268,0.460,0.976,-0.549,-0.183
1732908379278,2024-11-29T14.26.19.278,0.470,0.793,-0.122,-0.061
1732908379288,2024-11-29T14.26.19.288,0.480,0.427,0.122,0.061
1732908379298,2024-11-29T14.26.19.298,0.490,0.122,0.244,0.122
1732908379308,2024-11-29T14.26.19.308,0.500,-0.183,0.427,0.183
1732908379318,2024-11-29T14.26.19.318,0.510,-0.305,0.488,0.244
1732908379328,2024-11-29T14.26.19.328,0.520,-0.305,0.610,0.183
1732908379338,2024-11-29T14.26.19.338,0.530,-0.244,0.549,0.122
1732908379348,2024-11-29T14.26.19.348,0.540,-0.244,0.610,0.061
1732908379358,2024-11-29T14.26.19.358,0.550,0.000,0.671,0.000
1732908379368,2024-11-29T14.26.19.368,0.560,0.000,0.671,-0.122
1732908379378,2024-11-29T14.26.19.378,0.570,0.061,0.549,-0.244
1732908379388,2024-11-29T14.26.19.388,0.580,0.122,0.549,-0.305
1732908379398,2024-11-29T14.26.19.398,0.590,0.305,0.427,-0.244
1732908379408,2024-11-29T14.26.19.408,0.600,0.427,0.244,-0.244
1732908379418,2024-11-29T14.26.19.418,0.610,0.366,0.122,-0.305
1732908379428,2024-11-29T14.26.19.428,0.620,0.244,0.061,-0.427
1732908379438,2024-11-29T14.26.19.438,0.630,0.366,-0.061,-0.488
1732908379448,2024-11-29T14.26.19.448,0.640,0.366,-0.183,-0.610
1732908379458,2024-11-29T14.26.19.458,0.650,0.244,-0.305,-0.854
1732908379468,2024-11-29T14.26.19.468,0.660,0.244,-0.427,-1.098
1732908379478,2024-11-29T14.26.19.478,0.670,0.366,-0.488,-1.220
1732908379488,2024-11-29T14.26.19.488,0.680,0.366,-0.488,-1.280
1732908379498,2024-11-29T14.26.19.498,0.690,0.549,-0.610,-1.402
1732908379508,2024-11-29T14.26.19.508,0.700,0.549,-0.549,-1.402
1732908379518,2024-11-29T14.26.19.518,0.710,0.610,-0.488,-1.402
1732908379528,2024-11-29T14.26.19.528,0.720,0.610,-0.549,-1.402
1732908379538,2024-11-29T14.26.19.538,0.730,0.488,-0.427,-1.280
1732908379548,2024-11-29T14.26.19.548,0.740,0.427,-0.427,-1.280
1732908379558,2024-11-29T14.26.19.558,0.750,0.244,-0.366,-1.341
1732908379568,2024-11-29T14.26.19.568,0.760,0.183,-0.427,-1.341
1732908379578,2024-11-29T14.26.19.578,0.770,-0.061,-0.488,-1.341
1732908379588,2024-11-29T14.26.19.588,0.780,-0.244,-0.488,-1.463
1732908379598,2024-11-29T14.26.19.598,0.790,-0.305,-0.427,-1.402
1732908379608,2024-11-29T14.26.19.608,0.800,-0.244,-0.244,-1.402
1732908379618,2024-11-29T14.26.19.618,0.810,-0.122,0.061,-1.280
1732908379628,2024-11-29T14.26.19.628,0.820,0.000,-0.061,-1.159
1732908379638,2024-11-29T14.26.19.638,0.830,0.244,-0.305,-1.037
1732908379648,2024-11-29T14.26.19.648,0.840,0.427,-0.427,-1.037
1732908379658,2024-11-29T14.26.19.658,0.850,0.549,-0.488,-0.976
1732908379668,2024-11-29T14.26.19.668,0.860,0.671,-0.976,-0.671
1732908379678,2024-11-29T14.26.19.678,0.870,0.854,-1.402,-0.244
1732908379688,2024-11-29T14.26.19.688,0.880,1.098,-1.463,0.305
1732908379698,2024-11-29T14.26.19.698,0.890,1.098,-1.098,0.793
1732908379708,2024-11-29T14.26.19.708,0.900,0.976,-0.671,1.098
1732908379718,2024-11-29T14.26.19.718,0.910,0.793,-0.366,1.341
1732908379728,2024-11-29T14.26.19.728,0.920,0.427,-0.122,1.463
1732908379738,2024-11-29T14.26.19.738,0.930,0.000,0.000,1.341
1732908379748,2024-11-29T14.26.19.748,0.940,-0.488,0.000,1.037
1732908379758,2024-11-29T14.26.19.758,0.950,-0.854,0.000,0.671
1732908379768,2024-11-29T14.26.19.768,0.960,-0.976,-0.122,0.183
1732908379778,2024-11-29T14.26.19.778,0.970,-1.037,-0.122,-0.244
1732908379788,2024-11-29T14.26.19.788,0.980,-0.915,-0.183,-0.549
1732908379798,2024-11-29T14.26.19.798,0.990,-0.549,-0.183,-0.793
1732908379808,2024-11-29T14.26.19.808,1.000,-0.183,-0.122,-0.915
1732908379818,2024-11-29T14.26.19.818,1.010,0.183,-0.305,-0.976
1732908379828,2024-11-29T14.26.19.828,1.020,0.610,-0.488,-0.976
1732908379838,2024-11-29T14.26.19.838,1.030,0.915,-0.854,-0.976
1732908379848,2024-11-29T14.26.19.848,1.040,0.976,-0.976,-1.037
1732908379858,2024-11-29T14.26.19.858,1.050,0.915,-1.098,-0.915
1732908379868,2024-11-29T14.26.19.868,1.060,0.793,-1.098,-0.915
1732908379878,2024-11-29T14.26.19.878,1.070,0.671,-0.915,-0.976
1732908379888,2024-11-29T14.26.19.888,1.080,0.488,-0.732,-1.037
1732908379898,2024-11-29T14.26.19.898,1.090,0.183,-0.305,-1.220
1732908379908,2024-11-29T14.26.19.908,1.100,-0.183,0.305,-1.402
1732908379918,2024-11-29T14.26.19.918,1.110,-0.488,0.366,-1.646
1732908379928,2024-11-29T14.26.19.928,1.120,-0.671,-0.122,-1.585
1732908379938,2024-11-29T14.26.19.938,1.130,-0.610,-0.671,-1.524
1732908379948,2024-11-29T14.26.19.948,1.140,-0.305,-0.488,-1.524
1732908379958,2024-11-29T14.26.19.958,1.150,0.122,-0.183,-1.280
1732908379968,2024-11-29T14.26.19.968,1.160,0.427,0.061,-0.732
1732908379978,2024-11-29T14.26.19.978,1.170,0.610,0.244,-0.488
1732908379988,2024-11-29T14.26.19.988,1.180,0.610,0.305,-0.305
1732908379998,2024-11-29T14.26.19.998,1.190,0.793,0.244,-0.183
1732908380008,2024-11-29T14.26.20.008,1.200,0.488,0.122,-0.122
1732908380018,2024-11-29T14.26.20.018,1.210,0.122,0.000,-0.122
1732908380028,2024-11-29T14.26.20.028,1.220,-0.122,-0.183,-0.122
1732908380038,2024-11-29T14.26.20.038,1.230,-0.549,-0.305,-0.122
1732908380048,2024-11-29T14.26.20.048,1.240,-0.854,-0.427,-0.183
1732908380058,2024-11-29T14.26.20.058,1.250,-0.915,-0.366,-0.366
1732908380068,2024-11-29T14.26.20.068,1.260,-0.793,-0.305,-0.488
1732908380078,2024-11-29T14.26.20.078,1.270,-0.549,-0.305,-0.488
1732908380088,2024-11-29T14.26.20.088,1.280,-0.244,-0.488,-0.610
1732908380098,2024-11-29T14.26.20.098,1.290,0.122,-0.793,-0.671
1732908380108,2024-11-29T14.26.20.108,1.300,0.549,-1.159,-0.732
1732908380118,2024-11-29T14.26.20.118,1.310,0.915,-1.341,-0.732
1732908380128,2024-11-29T14.26.20.128,1.320,1.098,-1.463,-0.793
1732908380138,2024-11-29T14.26.20.138,1.330,1.159,-1.402,-0.793
1732908380148,2024-11-29T14.26.20.148,1.340,1.159,-1.341,-0.671
1732908380158,2024-11-29T14.26.20.158,1.350,1.037,-1.098,-0.671
1732908380168,2024-11-29T14.26.20.168,1.360,0.915,-0.976,-0.549
1732908380178,2024-11-29T14.26.20.178,1.370,0.671,-0.854,-0.366
1732908380188,2024-11-29T14.26.20.188,1.380,0.305,-0.671,-0.305
1732908380198,2024-11-29T14.26.20.198,1.390,0.122,-0.427,-0.244
1732908380208,2024-11-29T14.26.20.208,1.400,0.000,-0.183,-0.244
1732908380218,2024-11-29T14.26.20.218,1.410,-0.183,-0.061,-0.183
1732908380228,2024-11-29T14.26.20.228,1.420,-0.183,0.061,-0.122
1732908380238,2024-11-29T14.26.20.238,1.430,-0.305,0.122,-0.061
1732908380248,2024-11-29T14.26.20.248,1.440,-0.427,0.305,0.061
1732908380258,2024-11-29T14.26.20.258,1.450,-0.366,0.244,0.183
1732908380268,2024-11-29T14.26.20.268,1.460,-0.427,0.122,0.427
1732908380278,2024-11-29T14.26.20.278,1.470,-0.427,-0.122,0.610
1732908380288,2024-11-29T14.26.20.288,1.480,-0.366,-0.610,0.732
1732908380298,2024-11-29T14.26.20.298,1.490,-0.244,-1.280,0.793
1732908380308,2024-11-29T14.26.20.308,1.500,0.000,-2.134,0.854
1732908380318,2024-11-29T14.26.20.318,1.510,0.366,-2.866,0.854
1732908380328,2024-11-29T14.26.20.328,1.520,1.037,-3.476,0.671
1732908380338,2024-11-29T14.26.20.338,1.530,1.707,-5.244,0.488
1732908380348,2024-11-29T14.26.20.348,1.540,2.134,-8.049,0.549
1732908380358,2024-11-29T14.26.20.358,1.550,2.134,-11.159,-0.122
1732908380368,2024-11-29T14.26.20.368,1.560,1.768,-14.695,-1.341
1732908380378,2024-11-29T14.26.20.378,1.570,0.793,-18.659,-2.622
1732908380388,2024-11-29T14.26.20.388,1.580,-0.793,-22.012,-3.780
1732908380398,2024-11-29T14.26.20.398,1.590,-3.232,-25.793,-4.695
1732908380408,2024-11-29T14.26.20.408,1.600,-7.134,-31.402,-5.061
1732908380418,2024-11-29T14.26.20.418,1.610,-12.317,-36.280,-5.244
1732908380428,2024-11-29T14.26.20.428,1.620,-18.171,-39.146,-6.098
1732908380438,2024-11-29T14.26.20.438,1.630,-24.512,-42.744,-5.732
1732908380448,2024-11-29T14.26.20.448,1.640,-30.427,-46.341,-4.512
1732908380458,2024-11-29T14.26.20.458,1.650,-35.305,-48.598,-3.110
1732908380468,2024-11-29T14.26.20.468,1.660,-38.963,-51.159,-1.341
1732908380478,2024-11-29T14.26.20.478,1.670,-41.402,-55.122,0.305
1732908380488,2024-11-29T14.26.20.488,1.680,-42.500,-59.817,1.585
1732908380498,2024-11-29T14.26.20.498,1.690,-42.317,-65.427,2.134
1732908380508,2024-11-29T14.26.20.508,1.700,-41.159,-71.890,2.134
1732908380518,2024-11-29T14.26.20.518,1.710,-38.902,-78.049,1.951
1732908380528,2024-11-29T14.26.20.528,1.720,-35.671,-83.049,1.098
1732908380538,2024-11-29T14.26.20.538,1.730,-31.890,-87.927,-0.061
1732908380548,2024-11-29T14.26.20.548,1.740,-27.805,-92.805,-1.037
1732908380558,2024-11-29T14.26.20.558,1.750,-23.293,-96.646,-2.073
1732908380568,2024-11-29T14.26.20.568,1.760,-18.232,-99.512,-2.988
1732908380578,2024-11-29T14.26.20.578,1.770,-13.049,-102.805,-3.902
1732908380588,2024-11-29T14.26.20.588,1.780,-7.866,-106.890,-4.756
1732908380598,2024-11-29T14.26.20.598,1.790,-2.744,-110.854,-5.549
1732908380608,2024-11-29T14.26.20.608,1.800,2.012,-113.963,-7.012
1732908380618,2024-11-29T14.26.20.618,1.810,5.671,-117.500,-8.293
1732908380628,2024-11-29T14.26.20.628,1.820,8.354,-120.671,-9.451
1732908380638,2024-11-29T14.26.20.638,1.830,10.488,-122.866,-9.634
1732908380648,2024-11-29T14.26.20.648,1.840,12.195,-123.902,-8.476
1732908380658,2024-11-29T14.26.20.658,1.850,12.805,-123.049,-7.134
1732908380668,2024-11-29T14.26.20.668,1.860,12.622,-120.793,-5.854
1732908380678,2024-11-29T14.26.20.678,1.870,11.951,-118.780,-4.451
1732908380688,2024-11-29T14.26.20.688,1.880,10.549,-116.524,-3.598
1732908380698,2024-11-29T14.26.20.698,1.890,8.902,-112.256,-3.049
1732908380708,2024-11-29T14.26.20.708,1.900,6.890,-105.183,-4.146
1732908380718,2024-11-29T14.26.20.718,1.910,4.878,-96.768,-5.305
1732908380728,2024-11-29T14.26.20.728,1.920,3.171,-88.780,-5.854
1732908380738,2024-11-29T14.26.20.738,1.930,1.646,-79.939,-6.585
1732908380748,2024-11-29T14.26.20.748,1.940,0.244,-69.939,-6.951
1732908380758,2024-11-29T14.26.20.758,1.950,-1.098,-59.634,-7.439
1732908380768,2024-11-29T14.26.20.768,1.960,-2.012,-50.305,-7.439
1732908380778,2024-11-29T14.26.20.778,1.970,-2.439,-41.768,-6.768
1732908380788,2024-11-29T14.26.20.788,1.980,-1.951,-32.561,-6.159
1732908380798,2024-11-29T14.26.20.798,1.990,-0.854,-23.110,-5.793
1732908380808,2024-11-29T14.26.20.808,2.000,0.793,-14.451,-5.122
1732908380818,2024-11-29T14.26.20.818,2.010,2.744,-6.829,-4.573
1732908380828,2024-11-29T14.26.20.828,2.020,4.634,-0.122,-4.573
1732908380838,2024-11-29T14.26.20.838,2.030,6.098,4.939,-4.390
1732908380848,2024-11-29T14.26.20.848,2.040,7.012,8.841,-4.329
1732908380858,2024-11-29T14.26.20.858,2.050,7.683,11.951,-4.573
1732908380868,2024-11-29T14.26.20.868,2.060,7.622,14.512,-4.573
1732908380878,2024-11-29T14.26.20.878,2.070,6.890,16.707,-4.512
1732908380888,2024-11-29T14.26.20.888,2.080,5.976,18.659,-4.512
1732908380898,2024-11-29T14.26.20.898,2.090,4.878,20.305,-4.146
1732908380908,2024-11-29T14.26.20.908,2.100,3.902,21.951,-3.659
1732908380918,2024-11-29T14.26.20.918,2.110,3.415,23.841,-3.293
1732908380928,2024-11-29T14.26.20.928,2.120,3.720,25.427,-2.744
1732908380938,2024-11-29T14.26.20.938,2.130,5.000,26.829,-2.134
1732908380948,2024-11-29T14.26.20.948,2.140,7.134,28.354,-1.829
1732908380958,2024-11-29T14.26.20.958,2.150,9.939,30.122,-1.890
1732908380968,2024-11-29T14.26.20.968,2.160,13.354,31.829,-2.439
1732908380978,2024-11-29T14.26.20.978,2.170,16.585,33.354,-3.476
1732908380988,2024-11-29T14.26.20.988,2.180,19.512,34.756,-4.756
1732908380998,2024-11-29T14.26.20.998,2.190,21.951,36.098,-6.220
1732908381008,2024-11-29T14.26.21.008,2.200,23.720,37.988,-7.744
1732908381018,2024-11-29T14.26.21.018,2.210,24.939,40.427,-8.841
1732908381028,2024-11-29T14.26.21.028,2.220,25.549,43.171,-9.146
1732908381038,2024-11-29T14.26.21.038,2.230,25.671,46.463,-8.841
1732908381048,2024-11-29T14.26.21.048,2.240,25.549,49.817,-8.171
1732908381058,2024-11-29T14.26.21.058,2.250,25.000,52.683,-7.134
1732908381068,2024-11-29T14.26.21.068,2.260,24.390,55.305,-5.976
1732908381078,2024-11-29T14.26.21.078,2.270,23.354,58.537,-4.878
1732908381088,2024-11-29T14.26.21.088,2.280,22.195,61.707,-4.024
1732908381098,2024-11-29T14.26.21.098,2.290,20.732,64.390,-3.415
1732908381108,2024-11-29T14.26.21.108,2.300,19.085,66.646,-2.866
1732908381118,2024-11-29T14.26.21.118,2.310,17.195,68.841,-2.378
1732908381128,2024-11-29T14.26.21.128,2.320,15.488,70.854,-1.951
1732908381138,2024-11-29T14.26.21.138,2.330,13.963,72.927,-1.402
1732908381148,2024-11-29T14.26.21.148,2.340,11.951,75.305,-1.037
1732908381158,2024-11-29T14.26.21.158,2.350,9.939,78.110,-0.915
1732908381168,2024-11-29T14.26.21.168,2.360,7.744,81.402,-1.280
1732908381178,2024-11-29T14.26.21.178,2.370,5.610,84.390,-1.463
1732908381188,2024-11-29T14.26.21.188,2.380,3.171,86.341,-1.341
1732908381198,2024-11-29T14.26.21.198,2.390,0.610,87.561,-0.854
1732908381208,2024-11-29T14.26.21.208,2.400,-1.646,88.841,0.000
1732908381218,2024-11-29T14.26.21.218,2.410,-3.780,89.329,1.341
